Company,Sector,Stage,Amount($),Location,funding_year,Investor
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,Bengaluru,2018,Unknown
Happy Cow Dairy,"Agriculture, Farming",Seed,484000.0,Mumbai,2018,Unknown
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,786500.0,Gurgaon,2018,Unknown
PayMe India,"Financial Services, FinTech",Angel,2000000.0,Noida,2018,Unknown
Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed,0.0,Hyderabad,2018,Unknown
Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed,1600000.0,Bengaluru,2018,Unknown
Tripshelf,"Internet, Leisure, Marketplace",Seed,193600.0,Kalkaji,2018,Unknown
Hyperdata,Market Research,Angel,605000.0,Hyderabad,2018,Unknown
Freightwalla,"Information Services, Information Technology",Seed,0.0,Mumbai,2018,Unknown
Microchip Payments,Mobile Payments,Seed,0.0,Bengaluru,2018,Unknown
BizCrum Infotech Pvt,"B2B, Shoes",Seed,0.0,New Delhi,2018,Unknown
Emojifi,Internet,Seed,0.0,Bengaluru,2018,Unknown
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,0.0,Unknown,2018,Unknown
Freshboxx,Food Delivery,Seed,0.0,Hubli,2018,Unknown
Wide Mobility Mechatronics,Industrial Automation,Seed,0.0,Bengaluru,2018,Unknown
Pitstop,"Automotive, Search Engine, Service Industry",Seed,1210000.0,Bengaluru,2018,Unknown
Mihuru,"Finance, Internet, Travel",Seed,150000.0,Mumbai,2018,Unknown
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,1100000.0,Bengaluru,2018,Unknown
AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed,0.0,New Delhi,2018,Unknown
Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",Seed,6050.0,Chennai,2018,Unknown
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,6000000.0,Mumbai,2018,Unknown
PaisaDukan,Financial Services,Seed,650000.0,Mumbai,2018,Unknown
Sleepy Owl Coffee,Food and Beverage,Seed,423500.0,New Delhi,2018,Unknown
BlueJack,Autonomous Vehicles,Seed,774400.0,New Delhi,2018,Unknown
PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Seed,0.0,Bengaluru,2018,Unknown
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",Series A,0.0,Mohali,2018,Unknown
Pando,"Logistics, Supply Chain Management",Seed,2000000.0,Chennai,2018,Unknown
Mintifi,"Financial Services, Lending",Seed,2000000.0,Mumbai,2018,Unknown
Carcrew,"Automotive, Marketplace, Online Portals",Seed,2000000.0,Mumbai,2018,Unknown
NicheAI,Artificial Intelligence,Angel,0.0,Hyderabad,2018,Unknown
Chariot Tech,"Internet of Things, Telecommunications",Seed,242000.0,New Delhi,2018,Unknown
Ideal Insurance Brokers,Insurance,Seed,1000000.0,Kolkata,2018,Unknown
Loanzen,Financial Services,Seed,0.0,Bengaluru,2018,Unknown
Mojro Technologies,"Information Technology, Logistics, Supply Chain Management",Seed,650000.0,Bengaluru,2018,Unknown
Elemential,"Blockchain, Developer Tools, Enterprise Software",Seed,1000000.0,Mumbai,2018,Unknown
Loadshare,"Industrial Automation, Logistics, Supply Chain Management",Series A,5000000.0,Bengaluru,2018,Unknown
Yumlane,"Food and Beverage, Food Delivery, Snack Food",Series A,4000000.0,Mumbai,2018,Unknown
Kriger Campus,Education,Seed,363000.0,New Delhi,2018,Unknown
Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",Series A,1000000.0,Mumbai,2018,Unknown
Kaleidofin,Financial Services,Seed,2800000.0,Chennai,2018,Unknown
Chakr Innovation,Renewable Energy,Seed,0.0,New Delhi,2018,Unknown
IndigoLearn,"E-Learning, Education",Seed,150000.0,Hyderabad,2018,Unknown
UClean,"Clean Energy, CleanTech, Laundry and Dry-cleaning",Seed,484000.0,Unknown,2018,Unknown
Coutloot,"E-Commerce, Fashion, Mobile",Seed,1000000.0,Mumbai,2018,Unknown
Letstrack,"Apps, Messaging, Navigation, Public Safety",Seed,1700000.0,New Delhi,2018,Unknown
Pooltoo,Transportation,Seed,0.0,New Delhi,2018,Unknown
Finzy,"Financial Services, Lending",Seed,1300000.0,Bengaluru,2018,Unknown
Fitternity,"Fitness, Health Care, Wellness",Seed,2000000.0,Mumbai,2018,Unknown
Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed,0.0,Pune,2018,Unknown
Tolet for Students,Hospitality,Seed,60500.0,Jodhpur,2018,Unknown
Chai Kings,"Food and Beverage, Tea",Seed,242000.0,Chennai,2018,Unknown
Dainik Jagran,"Media and Entertainment, News, Outdoors",Seed,484000.0,Kanpur,2018,Unknown
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,242000.0,Bengaluru,2018,Unknown
ONGO Framework,"B2B, Information Services, Information Technology",Angel,1000000.0,Hyderabad,2018,Unknown
Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",Seed,151250.0,New Delhi,2018,Unknown
Arogya MedTech,"Health Care, Medical",Seed,181500.0,Kolkata,2018,Unknown
Propshop24,E-Commerce,Seed,500000.0,Mumbai,2018,Unknown
myUpchar,"Health Care, Hospital, Wellness",Series A,5000000.0,New Delhi,2018,Unknown
MissMalini Entertainment,Unknown,Seed,1258400.0,Mumbai,2018,Unknown
Rooter,Sports,Seed,544500.0,Unknown,2018,Unknown
ZestMoney,"Big Data, Consumer Lending, FinTech",Series A,13400000.0,Bengaluru,2018,Unknown
alphaics Corporation,"Cloud Computing, Computer, Semiconductor",Seed,0.0,Bengaluru,2018,Unknown
MyDentistChoice,"Health Care, Medical, Pharmaceutical",Seed,500000.0,Hyderabad,2018,Unknown
Sattviko,"Food Processing, Retail",Angel,0.0,New Delhi,2018,Unknown
Sensibull,Trading Platform,Seed,302500.0,Bengaluru,2018,Unknown
Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",Series A,0.0,New Delhi,2018,Unknown
MedCords,Wellness,Seed,319440.0,Pune,2018,Unknown
University Living,Education,Seed,0.0,New Delhi,2018,Unknown
ME,"Food and Beverage, Food Processing, Nutrition",Seed,0.0,Bengaluru,2018,Unknown
Enakshi,Fashion,Seed,96800.0,Ahmedabad,2018,Unknown
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Series A,726.0,Bengaluru,2018,Unknown
Inthree Access,"Consulting, Retail, Social",Series A,4000000.0,Chennai,2018,Unknown
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,9000000.0,Bengaluru,2018,Unknown
Guardian,Healthcare,Seed,0.0,Mumbai,2018,Unknown
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed,100000.0,New Delhi,2018,Unknown
Wimoxez,Internet,Seed,20000.0,Hyderabad,2018,Unknown
India Accelerator,"Communities, Coworking, Incubators",Angel,0.0,Gurgaon,2018,Unknown
HappyEMI,"Consumer, Financial Services, FinTech",Seed,1000000.0,Bengaluru,2018,Unknown
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,0.0,Azadpur,2018,Unknown
Hansel,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,4000000.0,Bengaluru,2018,Unknown
Propelld,"Education, Financial Services, FinTech",Seed,250000.0,Bengaluru,2018,Unknown
PivotRoots,"Advertising, Consulting, Digital Marketing",Series A,0.0,Mumbai,2018,Unknown
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,120000.0,New Delhi,2018,Unknown
Carmesi,Healthcare,Seed,411400.0,Gurgaon,2018,Unknown
OckyPocky,"E-Learning, Internet, Video Games",Angel,0.0,Haryana,2018,Unknown
Racetrack,"Artificial Intelligence, Cloud Computing, Video",Seed,4138200.0,Bengaluru,2018,Unknown
WHR,"Health Care, Information Technology",Seed,143145.0,Pune,2018,Unknown
Asteria Aerospace,Aerospace,Seed,0.0,Bengaluru,2018,Unknown
FabAlley,"E-Commerce, Fashion, Lifestyle",Series B,7260000.0,Noida,2018,Unknown
Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Pre-Seed,0.0,Cochin,2018,Unknown
SBI Life,Insurance,Private Equity,742000000.0,Mumbai,2018,Unknown
Studds Accessories,E-Commerce,Private Equity,12100000.0,Faridabad,2018,Unknown
Design Cafe,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Series B,24200000.0,Bengaluru,2018,Unknown
NoPaperForms Solutions Pvt,"EdTech, Education, Information Services, SaaS",Series B,3980000.0,New Delhi,2018,Unknown
Rays Power Infra,"Energy, Solar",Venture,24200000.0,Jaipur,2018,Unknown
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,10000.0,Gurgaon,2018,Unknown
Khidki,"Artificial Intelligence, Social",Seed,0.0,Bengaluru,2018,Unknown
LetsTransport,"Logistics, Transportation, Travel",Series B,12100000.0,Bengaluru,2018,Unknown
Next Digital Solutions,"Digital Marketing, SEM, SEO, Web Development",Angel,1210.0,Kota,2018,Unknown
Portea Medical,"Health Care, Hospital, Medical",Debt Financing Financing,3025000.0,Bengaluru,2018,Unknown
Aavas Financiers,"Finance, Financial Services",Post-IPO Debt Financing,24200000.0,Jaipur,2018,Unknown
Swiggy,"Food Delivery, Food Processing, Internet",Series H,1000000000.0,Bengaluru,2018,Unknown
Milkbasket,"E-Commerce, Food and Beverage, Internet",Series A,7000000.0,Haryana,2018,Unknown
Nutrisattva ,"Fitness, Food and Beverage, Health Care, Nutrition",Angel,0.0,Anand,2018,Unknown
Toppr,"EdTech, Education, Knowledge Management",Series C,35000000.0,Mumbai,2018,Unknown
Jagaran Microfin,Unknown,Debt Financing Financing,6655000.0,Kolkata,2018,Unknown
Vivriti Capital,Financial Services,Venture,28500000.0,Chennai,2018,Unknown
Be U Salons,"Apps, Beauty, Consumer, Retail",Seed,363000.0,New Delhi,2018,Unknown
Impact Guru,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Series A,2000000.0,Mumbai,2018,Unknown
MobiKwik,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",Series E,2904000.0,Gurgaon,2018,Unknown
Stones2Milestones,"E-Learning, Education, Higher Education",Seed,0.0,Gurgaon,2018,Unknown
Generico,"Health Care, Medical, Pharmaceutical",Series A,0.0,Mumbai,2018,Unknown
Adiuvo Diagnostics,Health Diagnostics,Seed,0.0,Chennai,2018,Unknown
DataTrained,"EdTech, Education",Seed,1452000.0,Bengaluru,2018,Unknown
OneAssist,"Financial Services, SaaS, Security",Debt Financing Financing,2400000.0,Mumbai,2018,Unknown
Satin Creditcare Network Limited ,"Banking, Finance, Financial Services, Non Profit",Post-IPO Debt Financing,30000000.0,New Delhi,2018,Unknown
APAC Financial Services,"Finance, Financial Services",Private Equity,30250000.0,Mumbai,2018,Unknown
Moglix,"B2B, E-Commerce, Mobile",Series C,23000000.0,Noida,2018,Unknown
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",Venture,0.0,Mumbai,2018,Unknown
MadGuy Labs,E-Learning,Venture,150000.0,Hyderabad,2018,Unknown
Dee Dee Labs,"Embedded Systems, Health Care, Medical, Product Research",Seed,0.0,Pune,2018,Unknown
FLEECA,Unknown,Seed,0.0,Jaipur,2018,Unknown
Shop101,"Apps, E-Commerce, Internet",Series B,11000000.0,Mumbai,2018,Unknown
FeedMyPockets,"Advertising, Human Resources, Marketing",Seed,532400.0,Bengaluru,2018,Unknown
Housejoy,"Beauty, Fitness, Home Services, Internet",Series B,3240000.0,Bengaluru,2018,Unknown
Ambee,"Health Care, Medical Device, Public Safety",Angel,0.0,Bengaluru,2018,Unknown
FoodBuddy,"Food Delivery, Online Portals, Restaurants",Seed,726000.0,Belgaum,2018,Unknown
Ninjacart,"AgTech, B2B, Supply Chain Management",Series B,30250000.0,Bengaluru,2018,Unknown
Olly Smart Credit Card,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Seed,0.0,New Delhi,2018,Unknown
Zestl,Software,Seed,0.0,Pune,2018,Unknown
Byju's,"EdTech, Education, Higher Education, Secondary Education",Private Equity,540000000.0,Bengaluru,2018,Unknown
Wakefit,"Manufacturing, Retail",Venture,7865000.0,Bengaluru,2018,Unknown
Hero Electric,Manufacturing,Venture,19360000.0,New Delhi,2018,Unknown
Pentation Analytics,"Information Services, Information Technology, InsurTech",Seed,0.0,Mumbai,2018,Unknown
PerkFinance,"Consumer Lending, FinTech",Seed,900000.0,Bengaluru,2018,Unknown
Roposo,"Internet, Social Network, TV",Series C,10000000.0,Gurgaon,2018,Unknown
Plum Goodness,"Beauty, Health Care",Series A,0.0,Thane,2018,Unknown
Drstore,Hospital,Seed,0.0,Mumbai,2018,Unknown
Wow Venue,Events,Venture,1500000.0,Mumbai,2018,Unknown
Chizel,"3D Printing, Manufacturing, Product Design",Seed,0.0,Pune,2018,Unknown
OTO Capital,Automotive,Seed,605000.0,Mumbai,2018,Unknown
Boodmo,"Automotive, Retail",Seed,847000.0,Gurgaon,2018,Unknown
Khabri,"Apps, Audio",Seed,0.0,Haryana,2018,Unknown
MyNewCar,"Automotive, E-Commerce",Venture,1000000.0,Gurgaon,2018,Unknown
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Series A,5000000.0,Bengaluru,2018,Unknown
